0,Atlético GO,0.1,0.2,Atlético,0.3,0.4,Athletico,0.5,0.6,Bahia,0.7,0.8,Botafogo,0.9,0.10,Corinthians,0.11,0.12,Vitória,0.13,0.14,Cruzeiro,0.15,0.16,Cuiabá,0.17,0.18,Flamengo,0.19,0.20,Fluminense,0.21,0.22,Fortaleza,0.23,0.24,Grêmio,0.25,0.26,Criciúma,0.27,0.28,Internacional,0.29,0.30,Palmeiras,0.31,0.32,Juventude,0.33,0.34,São Paulo,0.35,0.36,Vasco da Gama,0.37,0.38
Folha do futebol,46.0,0.0,0.0,324.0,226.43280000000001,303.5457523425827,137.0,139.4239,195.21819988,294.0,191.8389,78.96466512,0.0,240.0607,161.21952462,368.0,273.6063,228.26640576162222,101.0,0.0,0.0,200.0,99.5885,62.51369322,92.0,103.7817,24.283660187406618,524.0,485.3629,481.46511094,371.0,215.9498,89.84954269340449,143.0,119.5062,53.424052412294564,264.9,203.0,116.0,81.0,0.0,0.0,272.0,219.0947,223.4096737241409,449.0,424.5615,400.3069829,81.0,0.0,0.0,375.0,278.8478,202.76856256484527,234.0,167.728,93.49209172151548
Resultado,-45.0,0.0,0.0,-299.0,323.92470000000003,86.2069936652935,23.0,401.4989,52.64311008,-247.0,-69.1878,-85.54505388,0.0,-105.8783,-271.98940208,-182.0,126.8443,-149.3445101525507,-41.0,0.0,0.0,-170.0,272.558,-27.4182865,61.599999999999994,38.7871,-0.2428366018740662,-1.0,335.456,149.15547856,0.0,81.7674,-3.642549028110993,-80.0,69.1878,-11.898993491829245,44.0,-45.0,-96.0,-29.0,0.0,0.0,-34.0,178.211,-111.70483686207045,198.0,8.91055,19.74116628,33.7,0.0,0.0,-288.0,64.9946,-156.6296082087727,-92.0,-129.9892,-93.49209172151548
EBITDA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aquisições de atletas,11.0,0.0,0.0,218.0,155.1484,179.69908538680897,102.0,40.8837,104.1894887,264.0,73.381,0.0,0.0,69.1878,203.99205156,208.0,55.5599,76.49352959033085,19.5,0.0,0.0,332.0,106.92660000000001,0.0,0.0,0.0,0.0,415.0,286.1859,253.34496726,73.0,6.2898,10.199137278710781,0.0,78.6225,8.499281065592317,130.0,24.0,66.0,2.0,0.0,0.0,188.0,89.1055,67.99424852473854,346.0,157.245,115.15680329999999,2.5,0.0,0.0,111.0,80.7191,127.48921598388475,0.0,164.5831,1.8212745140554965
Gastos com a Base,0.0,0.0,0.0,0.0,25.1592,21.855294168665957,0.0,14.6762,15.35424044,0.0,0.0,14.25750898,0.0,10.483,5.4836573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.7728,30.70848088,0.0,32.4973,13.356013103073641,0.0,6.2898,2.428366018740662,0.0,26.0,25.0,0.0,0.0,0.0,0.0,19.9177,18.212745140554965,69.0,30.4007,32.9019438,0.0,0.0,0.0,0.0,35.6422,43.71058833733191,0.0,0.0,10.927647084332978
Base de Torcedores %,0.1,0.5,0.5,4.3,4.3,4.3,1.5,1.5,1.5,3.6,3.6,3.6,2.0,2.0,2.0,14.2,14.2,14.2,1.7727272727272727,0.1,0.1,6.1,6.1,6.1,0.1,0.1,0.1,21.9,21.9,21.9,3.4,3.4,3.4,1.2,1.2,1.2,4.6,4.6,4.6,0.2,0.2,0.2,3.5,3.5,3.5,7.7,7.7,7.7,0.1,3.1,3.1,9.9,9.9,9.9,6.2,6.2,6.2
Base de Torcedores,0.22,1.0,1.0,9.5,9.5,9.5,3.3,3.3,3.3,7.9,7.9,7.9,4.4,4.4,4.4,31.2,31.2,31.2,3.9,3.3,3.3,13.4,13.4,13.4,0.2,0.2,0.2,48.1,48.1,48.1,7.5,7.5,7.5,2.6,2.6,2.6,10.1,10.1,10.1,0.4,0.4,0.4,7.7,7.7,7.7,16.9,16.9,16.9,0.2,6.8,6.8,21.8,21.8,21.8,13.6,13.6,13.6
Pontuação Série A,30.0,53.0,0.0,47.0,58.0,48.0,42.0,58.0,47.0,53.0,0.0,43.0,79.0,53.0,43.0,56.0,65.0,56.0,47.0,0.0,0.0,52.0,0.0,0.0,30.0,41.0,0.0,70.0,62.0,71.0,46.0,70.0,46.0,68.0,55.0,53.0,45.0,68.0,0.0,38.0,46.0,52.0,65.0,73.0,57.0,73.0,81.0,66.0,45.0,47.0,74.0,59.0,54.0,63.0,50.0,0.0,49.0
Performance Série A,0.017122122307244355,0.24369580448359887,0.0,0.17051778233839707,0.3608488067145302,0.15751996908273488,0.05425015143458417,0.41148094458851686,0.13317855801757725,0.3058653605207225,0.0,0.05063213787398672,1.0,0.21239034303474383,0.11051724646602176,0.35043923442905656,0.544659502606094,0.31698925390914107,0.19956289353132872,0.11051724646602176,0.0,0.2665484173158308,0.0,0.0,0.0,0.08931900521218804,0.0,0.6332742086579154,0.47136605318055197,0.7723297513030469,0.14379887011111125,0.6391511932854698,0.13317855801757725,0.5372435736804817,0.31698925390914107,0.2783023865709396,0.1190610212692974,0.9671267134323301,0.0,0.03517020415607165,0.15751996908273488,0.24369580448359887,0.46275642631951835,0.7723297513030469,0.3608488067145302,0.7686217868402407,1.0,0.6391511932854698,0.09603063497743376,0.18381069589156382,0.7723297513030469,0.40189599549815624,0.2783023865709396,0.41148094458851686,0.2313782131597592,0.0,0.18381069589156382
Bilheteria Série A (R$ milhões),9.383,0.0,0.0,31.2,32.70696,23.190895478973324,20.925,19.49838,11.186660891999999,22.6,23.691580000000002,0.0,24.1,25.26403,0.0,42.9,44.97207,0.0,12.0,0.0,0.0,25.6,26.83648,0.0,14.9,12.0,0.0,59.579,72.96168,52.314090642000004,25.9,27.150969999999997,0.0,10.7,11.216809999999999,0.0,38.0,38.0,0.0,5.0,0.0,0.0,23.3,24.42539,0.0,49.509,48.11697,49.791608284,9.009,0.0,0.0,47.8,50.10874,28.0,21.5,22.53845,0.0
