Rubricas,América,Atlético,Athletico,Bahia,Botafogo,Corinthians,Coritiba,Cruzeiro,Cuiabá,Flamengo,Fluminense,Fortaleza,Grêmio,Goiás,Internacional,Palmeiras,Santos,São Paulo,Vasco da Gama
Direitos de transmissão,73.0,98,43.0,89.0,117,307,51.0,94.04400000000001,75.0,326,121.5,64,193.0,45.1,75,183,97.0,259,99.0
Publicidade e patrocínio,33.0,47,39.0,56.0,39,117,14.0,45.178000000000004,6.3,183,50.0,31,74.0,23.35,65,121,78.0,46,49.0
Arrecadação de jogos,3.1,47,33.0,68.9,22,91,12.0,26.738,16.6,169,39.0,20,2.4,6.75,20,63,26.0,110,25.0
Sócio-torcedor,0.0,27,45.0,0.0,27,43,27.0,28.582,0.0,90,57.0,35,86.0,8.0,73,59,0.0,21,32.0
Premiações,0.0,0,37.0,0.0,21,12,0.0,0.0,0.0,96,155.0,39,0.0,11.0,75,80,0.0,0,20.0
Licenciamento da marca,0.0,0,27.4,17.8,2,17,0.0,11.064,0.0,59,1.3,19,31.0,2.5500000000000003,14,36,1.4,18,8.6
Negociação de atletas,62.0,111,119.0,5.6,83,251,15.2,19.362000000000002,0.0,303,16.0,34,50.0,4.5,77,187,174.0,121,125.3
GERAÇÃO DE CAIXA TOTAL,171.1,330,393.4,237.3,311,838,119.2,224.968,133.9,1226,439.8,242,436.4,101.25,399,729,376.4,575,358.9
SAÍDAS DE CAIXA OPERACIONAIS,195.0,760,385.0,414.0,326,743,170.8,216.0,120.0,808,503.0,226,373.0,111.0,256,492,255.5,481,367.0
Pessoal e encargos sociais,92.0,163,103.0,183.0,171,261,85.1,95.0,99.0,339,127.0,77,28.0,43.0,164,319,147.0,187,124.0
Direitos de imagem,0.0,53,30.0,0.0,58,0,34.0,0.0,0.0,124,54.0,37,103.0,7.0,32,86,33.0,79,36.0
Despesas com jogos,0.0,43,18.0,0.0,16,40,6.0,21.0,0.0,125,18.0,13,23.0,10.0,9,26,25.0,57,30.0
Despesas gerais e administrativas,84.0,34,80.0,25.0,105,74,53.2,115.0,21.0,75,58.0,63,89.0,26.0,76,86,59.0,45,72.0
Outras despesas,16.0,255,154.0,13.0,75,214,24.5,40.0,0.0,141,4.0,55,110.0,15.0,43,5,105.5,206,93.0
Ajuste na Geração de Caixa Operacional,3.0,212,50.0,193.0,99,154,32.0,55.0,36.0,4,242.0,19,20.0,10.0,68,30,114.0,93,12.0
GERAÇÃO DE CAIXA OPERACIONAL,34.0,430,130.0,176.7,58,95,44.0,105.0,43.0,418,59.0,85,63.0,79.0,143,237,120.0,94,119.0
CAIXA DESTINADO A INVESTIMENTOS,8.4,306,67.0,74.0,464,60,73.0,112.0,33.0,380,38.0,78,68.0,5.8,110,220,113.0,122,172.0
Compra de Jogadores,7.7,127,53.0,70.0,78,8,23.0,102.0,27.0,340,6.0,75,40.0,2.6,107,176,111.0,77,171.0
Compra de Imobilizado,0.0,0,13.0,4.0,10,52,50.0,10.0,6.0,39,0.0,3,27.0,3.2,3,12,2.0,11,0.0
Mútuo c/ Partes Relacionadas,0.0,433,1.0,182.0,376,0,0.0,0.0,0.0,1,32.0,0,1.0,0.0,0,32,0.0,34,111.0
CAIXA DESTINADO A FINANCIAMENTOS,13.0,116,0.0,370.0,419,46,41.0,59.0,0.0,41,20.0,2,7.0,0.0,151,14,27.0,1,133.0
AUMENTO/DIMINUIÇÃO DE CAIXA,13.0,8,63.0,50.0,13,11,12.0,52.0,9.0,2,41.0,5,12.0,73.0,78,3,20.0,27,79.0
Venda de Direitos - Liga Forte,58.0,0,122.0,69.0,77,0,95.5,96.0,29.0,0,122.0,70,0.0,89.0,196,0,0.0,0,127.0
Aporte,24.0,0,8.0,190.0,406,35,51.60000000000001,9.0,14.0,38,63.19999999999999,16,5.0,10.0,0,0,7.0,93,61.0
Ajuste 2,0.0,0,0.0,2.0,0,0,29.0,7.0,0.0,0,0.0,0,0.0,0.0,0,0,0.0,0,8.100000000000023
