Clubes,América,Athletico,Atlético,Bahia,Botafogo,Corinthians,Coritiba,Cruzeiro,Cuiabá,Flamengo,Fluminense,Fortaleza,Grêmio,Goiás,Internacional,Palmeiras,Santos,São Paulo,Vasco,Média da Liga
Folha do futebol / Receita Operacional Líquida,0.48936170212765956,0.25905726529022205,0.6428571428571429,0.8433179723502304,0.6450704225352113,0.31145584725536996,0.7439100562148657,0.4222222222222222,0.6265822784810127,0.3518237082066869,0.4557522123893805,0.4691358024691358,0.47877358490566035,0.5555555555555556,0.5240641711229946,0.4827175208581645,0.4056603773584906,0.3976083707025411,0.463768115942029,0.5036154909918198
Folha futebol + Compra jogadores / Rec Oper Líquida,0.5372340425531915,0.33502142578885863,1.0833333333333333,1.1658986175115207,0.8309859154929577,0.3747016706443914,0.7820112429731417,0.8755555555555555,0.6265822784810127,0.5592705167173252,0.4690265486725664,0.7777777777777778,0.535377358490566,0.5566666666666666,0.7513368983957219,0.6615017878426699,0.6367924528301887,0.5127055306427504,0.9188405797101449,0.6837168526358074
Despesas c/ a Base,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,22.0
Gastos Totais c/ a Base,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,19.0,51.0,0.0,0.0,0.0,25.0
Receita com Venda de Direitos Econômicos / Gastos Totais c/ a Base,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,3.0526315789473686,3.6666666666666665,0.0,0.0,0.0,2.539766081871345
Receita c/ Pay-per-View,0.483,0.0,16.4,6.05,118.2,118.2,1.6,18.0,0.12,177.3,10.5,1.96,56.9,1.05,15.0,50.0,9.95,27.9,20.5,36.11738888888889
Despesas Administrativas / Folha do Futebol,0.9130434782608695,0.6015037593984962,0.1574074074074074,0.1366120218579235,0.4585152838427948,0.2835249042145594,0.4869857262804366,0.0,0.21212121212121213,0.28293736501079914,0.2815533980582524,0.5526315789473685,0.43842364532019706,0.52,0.3877551020408163,0.2123456790123457,0.3430232558139535,0.16917293233082706,0.45,0.3826420416621255
ST + Match-Day,3.1,78.0,74.0,68.9,49.0,134.0,39.0,55.32,16.6,259.0,96.0,55.0,88.4,14.75,93.0,122.0,45.0,131.0,57.0,84.53245394736842
Folha do Futebol + Compra de jogadores,101.0,172.0,364.0,253.0,295.0,314.0,125.19999999999999,197.0,99.0,736.0,212.0,189.0,227.0,50.1,281.0,555.0,270.0,343.0,317.0,272.6421052631579
Resultado Financeiro,-13.0,-167.0,108.0,-2.0,-57.0,-45.0,-30.0,173.0,-1.0,28.0,-45.0,-10.0,-55.0,-1.4,-61.0,-53.0,-4.0,-78.0,-54.0,51.863157894736844
