0,Atlético GO,0.1,0.2,0.3,0.4,Atlético,0.5,0.6,0.7,0.8,Athletico,0.9,0.10,0.11,0.12,Bahia,0.13,0.14,0.15,0.16,Botafogo,0.17,0.18,0.19,0.20,Corinthians,0.21,0.22,0.23,0.24,Vitória,0.25,0.26,0.27,0.28,Cruzeiro,0.29,0.30,0.31,0.32,Cuiabá,0.33,0.34,0.35,0.36,Flamengo,0.37,0.38,0.39,0.40,Fluminense,0.41,0.42,0.43,0.44,Fortaleza,0.45,0.46,0.47,0.48,Grêmio,0.49,0.50,0.51,0.52,Criciúma,0.53,0.54,0.55,0.56,Internacional,0.57,0.58,0.59,0.60,Palmeiras,0.61,0.62,0.63,0.64,Juventude,0.65,0.66,0.67,0.68,São Paulo,0.69,0.70,0.71,0.72,Vasco da Gama,0.73,0.74,0.75,0.76
Rubricas,2024.0,2023.0,2022.0,2021.0,2020.0,2024.0,2023.0,2022.0,2021.0,2020.0,2024.0,2023.0,2022.0,2021.0,2020.0,2024.0,2023.0,2022.0,2021.0,2020.0,2024.0,2023.0,2022.0,2021.0,2020.0,2024.0,2023.0,2022.0,2021.0,2020.0,2024.0,2023.0,2022.0,2021.0,2020.0,2024.0,2023.0,2022.0,2021.0,2020.0,2024.0,2023.0,2022.0,2021.0,2020.0,2024.0,2023.0,2022.0,2021.0,2020.0,2024.0,2023.0,2022.0,2021.0,2020.0,2024.0,2023.0,2022.0,2021.0,2020.0,2024.0,2023.0,2022.0,2021.0,2020.0,2024.0,2023,2022,2021,2020,2024.0,2023.0,2022.0,2021.0,2020.0,2024.0,2023.0,2022.0,2021.0,2020.0,2024.0,2023.0,2022.0,2021.0,2020.0,2024.0,2023.0,2022.0,2021.0,2020.0,2024.0,2023.0,2022.0,2021.0,2020.0
Receita c/ Transmissão + Premiações,58.0,0.0,0.0,0.0,0.0,248.0,102.7334,169.9933763,323.704787017986,77.70771259970118,81.0,122.6511,141.47835834,219.283887979926,91.06372570277482,112.0,93.2987,24.128092119999998,143.868794230216,65.56588250599788,0.0,144.6654,99.80256286,58.0116105767,90.57805249902668,295.0,334.4077,348.76060428,308.621768268044,194.26928149925294,84.0,0.0,0.0,0.0,0.0,138.0,98.58632520000002,31.80521234,51.050217307496,48.567320374813235,56.0,78.6225,96.51236847999999,46.40928846136,0.0,454.0,518.0,403.0,325.0,420.0,167.0,290.3791,165.60645046,205.361101441518,106.84810482458913,118.0,107.9749,129.41431228,126.46531105720601,37.63967329048026,179.0,202.3219,76.7712022,221.604352402994,177.2707193680683,60.0,0,0,0,0,142.0,177.1627,169.9933763,200.720172595382,122.63248394640343,234.0,275.7029,288.44037398,581.276337978534,222.19549071477056,94.0,0.0,0.0,0.0,0.0,239.0,271.5097,224.8299493,281.936427402762,154.8083336947172,146.0,124.7477,35.09540672,80.056022595846,118.98993491829243
Publicidade e patrocínio,14.0,0.0,0.0,0.0,0.0,58.0,49.2701,75.67447074,58.0116105767,25.49784319677695,60.0,40.8837,76.7712022,26.685340865282,14.570196112443972,59.0,58.7048,19.74116628,20.884179807612,12.141830093703309,0.0,40.8837,16.4509719,9.745950576885601,7.285098056221986,254.0,122.6511,103.09275724,146.189258653284,86.2069936652935,42.0,0.0,0.0,0.0,0.0,58.0,47.36009740000001,31.80521234,44.088824038292,40.06803930922092,31.0,6.60429,6.0320230299999995,10.2100434614992,9.713464074962648,320.0,191.8389,164.509719,185.63715384544,115.34738589018144,78.0,52.415,36.19213818,23.20464423068,11.898993491829245,42.0,32.4973,24.128092119999998,10.442089903806,7.285098056221986,65.0,77.5742,48.256184239999996,52.21044951903,40.06803930922092,10.0,0,0,0,0,75.0,68.1395,51.54637862,45.249056249826,38.85385629985059,143.0,126.8443,149.15547856,204.200869229984,139.63104607758805,26.0,0.0,0.0,0.0,0.0,109.0,48.2218,59.22349884,38.287662980622,19.426928149925295,59.0,51.3667,25.882862456,23.20464423068,19.426928149925295
Match-Day,11.0,0.0,0.0,0.0,0.0,81.0,49.2701,42.77252694,49.889985095962004,0.8499281065592317,26.0,34.5939,26.32155504,6.0332074999768,2.1855294168665957,83.0,72.22787000000001,19.74116628,2.320464423068,6.070915046851654,0.0,23.0626,12.064046059999999,2.900580528835,2.428366018740662,94.0,95.3953,107.47968308,17.40348317301,8.499281065592317,10.0,0.0,0.0,0.0,0.0,51.0,28.0294454,35.09540672,2.6685340865282,1.214183009370331,13.0,17.401780000000002,14.586528418,4.5249056249826,0.04856732037481324,166.0,177.1627,139.28489542,37.127430769088,36.42549028110993,29.0,40.8837,26.32155504,2.320464423068,3.642549028110993,26.0,20.966,20.83789774,6.961393269204001,2.428366018740662,12.0,2.51592,0.0,0.23204644230680002,0.1214183009370331,3.0,0,0,0,0,19.0,20.966,16.4509719,3.2486501922952,4.3710588337331915,53.0,66.0429,61.41696176,13.922786538408001,7.285098056221986,4.2,0.0,0.0,0.0,0.0,108.0,115.313,70.19081344,9.281857692272,7.285098056221986,30.0,26.2075,12.173719206,0.6961393269204,3.278294125299894
Sócio-torcedor,3.0,0.0,0.0,0.0,0.0,32.0,28.304100000000002,31.80521234,15.083018749942001,12.141830093703309,59.0,47.1735,41.67579548,25.525108653748,28.533300720202778,0.0,0.0,0.0,0.0,0.0,0.0,28.304100000000002,8.77385168,4.5249056249826,6.799424852473853,71.0,45.0769,35.09540672,15.083018749942001,15.784379121814302,38.0,0.0,0.0,0.0,0.0,32.0,29.9625106,32.9019438,8.3536719230448,14.570196112443972,1.6,0.0,0.0,0.0,0.0,78.0,94.347,78.96466512,44.088824038292,75.27934658096052,70.0,59.7531,24.128092119999998,10.442089903806,13.356013103073641,39.0,36.6905,38.3856011,16.243250961476,13.356013103073641,99.0,90.1538,58.12676738,64.973003845904,86.2069936652935,20.0,0,0,0,0,86.0,76.52590000000001,66.90061906,70.774164903574,80.13607861844184,74.0,61.8497,54.836573,22.044412019146,26.712026206147282,5.8,0.0,0.0,0.0,0.0,52.0,22.0143,19.74116628,11.60232211534,8.499281065592317,54.0,33.5456,29.61174942,25.525108653748,35.2113072717396
Premiações,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,38.7871,88.83524826,87.01741586505,35.2113072717396,0.0,0.0,0.0,0.0,0.0,0.0,22.0143,4.93529157,3.4806966346020003,10.441973880584847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,132.0,143.6171,274.182865,168.23367067243,110.49065385270012,41.0,0.0,0.0,0.0,0.0,46.0,40.8837,39.48233256,40.60812740369,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,53.0,83.864,15.35424044,68.453700480506,40.06803930922092,63.0,83.864,104.1894887,299.339910575772,35.2113072717396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.80521234,55.691146153632005,0.6070915046851655,51.0,20.966,2.19346292,8.121625480738,14.570196112443972
Licenciamento da marca,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,50.0,28.723419999999997,85.54505388,31.326269711418,16.998562131184634,7.0,18.65974,0.0,0.0,0.0,2.0,2.0966,0.767712022,1.7403483173010001,2.0641111159295624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,11.5983912,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,98.0,61.8497,96.51236847999999,48.729752884428,14.570196112443972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,32.4973,12.064046059999999,16.243250961476,26.712026206147282,1.0,0,0,0,0,17.0,15.7245,14.25750898,18.563715384544,8.499281065592317,37.0,37.7388,24.128092119999998,16.243250961476,14.570196112443972,0.5,0.0,0.0,0.0,0.0,27.0,18.8694,17.54770336,18.563715384544,16.998562131184634,0.0,9.01538,4.38692584,4.640928846136,4.856732037481324
Receita Recorrente,86.0,0.0,0.0,0.0,0.0,430.0,229.5777,320.24558632000003,446.68940144059,116.19731399674068,276.0,274.02561999999995,371.79196494,308.8538147103508,153.3513140834728,261.0,242.89111000000003,63.61042468,167.073438460896,83.77862764655283,0.0,239.01240000000007,137.859144522,76.92339562470418,109.15505254239275,714.0,597.531,594.42845132,487.29752884428,304.75993535195306,174.0,0.0,0.0,0.0,0.0,294.0,215.53676980000006,131.6077752,106.161247355361,104.41973880584845,108.6,102.62857000000001,117.130919928,61.1442375478418,9.76203139533746,1116.0,1043.1983,882.2716480200002,640.5831615372481,661.6224188646958,344.0,443.4309,252.24823579999997,241.328299999072,135.745660447603,225.0,198.12870000000004,212.76590323999997,160.112045191692,60.70915046851655,403.0,405.06311999999997,195.21819988000001,355.26310317171084,330.37919684966704,94.0,0,0,0,0,339.0,358.5186,319.14885486000003,338.55575932562124,254.49275876402135,541.0,568.1786,577.97747942,837.6876567275477,410.3938571671719,130.5,0.0,0.0,0.0,0.0,535.0,475.92819999999995,391.53313122000003,359.67198557554,207.01820309764142,289.0,244.88288,107.150663642,134.12284365333042,181.76319650273854
Negociação de atletas,7.0,0.0,0.0,0.0,0.0,183.0,116.3613,96.51236847999999,114.862988941866,33.99712426236927,208.0,252.6403,110.76987746,37.127430769088,244.05078488343653,36.0,5.87048,23.03136066,40.60812740369,26.712026206147282,0.0,87.0089,4.93529157,41.768359615224,50.9956863935539,338.0,263.12330000000003,160.12279316,32.486501922952,229.48058877099254,1.7,0.0,0.0,0.0,0.0,75.0,20.2971846,17.54770336,23.20464423068,27.926209215517613,114.0,0.0,0.0,0.0,0.0,107.0,317.6349,145.86528418,322.544554806452,269.54862808021346,268.0,16.7728,103.09275724,127.62554326874,60.70915046851655,0.0,35.6422,21.9346292,2.7845573076816,13.356013103073641,106.0,52.415,111.86660892,184.47692163390602,145.70196112443972,2.0,0,0,0,0,178.0,60.8014,189.73454258,102.100434614992,82.5644446371825,440.0,196.0321,190.83127404,161.272277403226,180.91326839617932,4.0,0.0,0.0,0.0,0.0,93.0,126.8443,251.15150434,140.388097595614,183.34163441491998,174.0,131.35199,29.06338369,70.774164903574,40.06803930922092
